headline,published_date,author,content,domain
Germany's Merz promises to do 'whatever it takes' on defence,2025-03-05,Paul Kirby,"Friedrich Merz, who's expected to become Germany's next chancellor, has announced a political deal to raise hundreds of billions of euros in extra spending on defence and infrastructure. ""In view of the threats to our freedom and peace on our continent, the rule for our defence now has to be 'whatever it takes',"" he said. Merz, whose conservatives won Germany's election last month, said he and his likely coalition partners from the centre left would put new proposals to parliament next week. He has spoken of a need for urgency on German spending in light of ""recent decisions by the American government"". Merz, 69, did not elaborate but he has been outspoken in his criticism of President Donald Trump's treatment of Ukraine's Volodymyr Zelensky in the Oval Office. Earlier this week he said European leaders had to show ""we are in a position to act independently in Europe"". At a news conference on Tuesday, alongside leaders from the Social Democrats and his conservative sister party in Bavaria, Merz said Germany was counting on the US to stand by ""mutual alliance commitments... but we also know that the resources for our national and alliance defence must now be significantly expanded"". Merz said, in English, he would do ""whatever it takes"" to protect freedom and peace - a reference to Mario Draghi's vow to save the euro in 2012 when he was European Central Bank president. At the heart of his proposals is a special €500bn (£415bn) fund to repair Germany's creaking infrastructure, as well as loosening stringent budget rules to allow investment in defence. In the wake of Europe's financial crisis, Germany imposed a ""debt brake"" or Schuldenbremse, limiting the budget deficit to 0.35% of national economic output (GDP) in normal times. The new defence proposal recommends that ""necessary defence spending"" above 1% of GDP should be exempt from debt brake restrictions, with no upper limit. Although Germany has provided more aid to Ukraine than any other European country, its military is notoriously underfunded. Olaf Scholz's Social Democrat-led government set up a €100bn fund after Russia's full-scale invasion of Ukraine in 2022, but most of that has already been allocated. Germany will have to find an extra €30bn a year just to meet the current Nato target of 2% of GDP on defence, and security experts believe it will need to raise its target closer to 3%. Scholz was due to meet Friedrich Merz and Social Democrat leaders on Wednesday on the eve of an EU summit devoted to Ukraine and European defence. His government fell apart late last year because the three parties in coalition could not agree to reforming debt restrictions. The debt brake has been written into Germany's constitution, or Basic Law, and any change would require a two-thirds majority in parliament, which is not a foregone conclusion because of the large number of seats held by the far-right AfD and the Left party. However, the new parliament will not convene until late March and this measure will initially go before the old parliament. Boris Pistorius, the Social Democrat defence minister in the outgoing government, said the spending plans were a ""big, important step"" even if they were far from being a coalition deal. Ten days after Germany's elections, the parties are taking part in exploratory talks, which continue on Thursday. Pistorius told German TV that removing defence from national debt rules was not about armaments as much as ""the security of our country - nothing more, nothing less"". Social Democrat leader Lars Klingbeil, standing alongside Merz on Tuesday, gave details of the plan to re-invest in German infrastructure, saying: ""Our country is wearing itself out."" Loans of €500bn would go into a fund to cover repairs to roads, railways and other critical infrastructure; €100bn of the money would go to Germany's 16 federal states, with a loosening of the debt brake to allow the states to rack up small amounts of debt too. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  ",https://www.bbc.com/news/articles/c981w25y5wpo
Romanians on the march after arrest of far-right presidential favourite,2025-03-05,Nick Thorpe,"Tens of thousands of Romanians marched on Bucharest's Victory Square, the seat of the Romanian government, at the weekend, after the presidential election favourite was taken in for questioning. Calin Georgescu was picked up on his way to register as a candidate, and he was later charged with attempting to overthrow the constitutional order, as well as membership of a neo-fascist organisation. ""Georgescu's mentality is the same as the mentality of Trump,"" said Lavinia approvingly, as she steered her three-year-old daughter's pushchair through a sea of Romanian tricolour flags. ""He will listen to our opinion, just as we listen to him. We came here today for freedom, and democracy."" On the day of Georgescu's arrest came an unexpected twist. Guns, grenade launchers, and gold bullion buried beneath the floorboards were found in raids on 47 properties by Romanian police targeting a network, allegedly run by a former French legionnaire and militia chief in the Democratic Republic of Congo. Horatiu Potra's current whereabouts are unknown, but his alleged links to Georgescu have only added to the intrigue. While Horatiu Potra has admitted to illegal possession of weapons, Georgescu has denied all wrongdoing. In just three months, Romania has gone from a stable and loyal member of the European Union and Nato, to a country where a far-right, pro-Russia figure has come from almost nowhere to become favourite for the presidency. Georgescu led the first round of last December's election, but the run-off vote was then annulled after Romanian intelligence revealed Russia had been involved in 800 TikTok accounts backing him. The election is being rerun on 4 and 18 May. For Georgescu's critics, photographs of the weapons cache are the ultimate proof of his danger to the republic. For his supporters, they're the latest bout of mud-slinging, the doomed attempt of a corrupt regime to resist inevitable, Trump-inspired change. At the roadside, a lone busker played the same tune over and over again on an electric piano, as a sea of protesters passed by. ""We are talking about the freedom to choose our own president,"" said Oana Eftimie, vice-president of the Patriotic Party of Romanians, another right-wing grouping. One of the peculiarities of the Calin Georgescu phenomenon, is that he seems to have reached beyond existing nationalist parties like AUR, the Alliance for the Union of Romanians, which won 18% and 63 seats in the House of Deputies in the Parliamentary elections on 1 December. Some polls put him as high as 40%. Georgescu has eclipsed both the firebrand AUR leader, George Simion, and the leader of SOS Romania, Diana Sosoaca. Oana Eftimie dismisses the charges against Georgescu, and some of his backers, as reheated slanders: ""He was prosecuted for all that before, and the case was closed last year for lack of evidence. So he's not a fascist, we're not fascists, we're just normal people wanting to be able to choose our leader, and exhausted with those that are in power now."" Romania's cancelled presidential election and why it matters In a quiet flat not far from the noisy marchers, Elena Calistru, president of Funky Citizens, a liberal-minded, non-governmental organisation, admits that the protesters' anguish about a corrupt, complacent elite, has some basis in fact. ""But if you have a house and the roof is leaking. You don't burn down the house. You fix the roof, right? ""Unfortunately for us though, the malaise that we see all over Europe, the lack of leadership, the lack of politicians capable of talking to the general public without trying to compete with the populists, is also present in Romania."" As a loyal US ally, Romanian military analysts are holding their breath over the fate of substantial US military infrastructure in Romania, which includes 4,500 US personnel. ""Dacian Spring"", a major Nato exercise scheduled for the spring, has been postponed until after the May elections. Candidates have until 15 March to register their candidacy for the presidential elections. If the Romanian Constitutional Court rules that Georgescu cannot stand, because of the charges levelled against him, how will the Americans react? US Vice-President JD Vance made an apparent criticism of Romania at the Munich Security Conference last month. ""If your democracy can be destroyed with a few hundred thousand dollars of digital advertising from a foreign country then it wasn't very strong to begin with."" ""Now, the good news is that I happen to think your democracies are substantially less brittle than many people apparently fear"", added Vance. Romanians on both sides of the political spectrum seem unconvinced. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  ",https://www.bbc.com/news/articles/c3d810xyvz9o
Migrants rescued after several days stranded on oil platform,2025-03-04,Laura Gozzi,"Thirty-two migrants attempting to cross the Mediterranean have been rescued by an NGO ship after spending several days stranded on an oil platform off the coast of Tunisia. ""Women, men and children"" were shipwrecked with no food or water, according to Mediterranea, a migrant rescue charity. One person on the platform had died, the charity said. NGO Sea Watch said it had managed to rescue all 32 people from the gas platform on Tuesday afternoon, and that they were being looked after aboard the Aurora ship. However, the Aurora's final destination was unclear as no country nearby had yet assigned the ship a port of safety, Sea Watch said. It added that no European country had intervened ""despite the imminent emergency"" and the fact that the people were stranded in international waters on the border of the Tunisian and Maltese search and rescue (SAR) zones. NGO monitoring aircraft Seabird reportedly spotted an empty rubber dinghy near the platform on 1 March. The shipwrecked people then managed to contact Alarm Phone - an emergency hotline for migrants in trouble at sea. In the call, they said they had been without food for days and that their condition was critical. They also reported the death of one person, Sea Watch said. In a video apparently filmed by one of the people on the platform and shared by NGOs on social media, a young man in a white t-shirt could be heard saying that he and the others were ""suffering from hunger and dying of cold"". Speaking in Tigrinya - a language spoken in Ethiopia and Eritrea - the man said they left Libya five days ago and that the dinghy they were travelling on capsized. ""Those who made it here and didn't die at sea are dying of hunger and exhaustion, if in the few hours nobody does anything we will obviously die... We have only little chance [to survive],"" he said. Behind him were several people apparently shivering from the cold as the waves crashed against the oil platform's pillars. Over 210,000 people tried to cross the Central Mediterranean in 2023, according to data shared by the UN. More than 60,000 were intercepted and sent back to African shores, and nearly 2000 lost their lives at sea. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  ",https://www.bbc.com/news/articles/c743znzplgqo
Father tries to block daughter's euthanasia in landmark Spanish case,2025-03-04,Guy Hedgecoe,"A young woman is due to testify in a Spanish court today in a bid to persuade a judge to let her die voluntarily against the wishes of her father, in the first case of its kind. The 23-year-old woman called Noelia who wants to end her life is paraplegic due to injuries suffered when she tried to take her own life in 2022. She has the support of the regional government of Catalonia after a local euthanasia guarantee and evaluation board unanimously supported her decision in July 2024. Euthanasia is the act of deliberately ending a person's life to relieve suffering. It can be involuntary – for example, if a person is in a coma and unable to give their consent – or voluntary, as in this case. The woman was due to die in August, but the process was suspended at the last moment due to legal objections raised by her father, with the backing of the campaign group Christian Lawyers (Abogados Cristianos). ""I want to finish with dignity once and for all,"" Noelia told the court on Tuesday. She claimed to have been ""coerced"" by religious groups and said people had filled a room in the care centre where she was currently living with ""small pictures, crosses and religious symbols"". The Catalan government's legal representation in the case has stated that ""no evidence of a scientific or expert character has been presented to contradict the many medical reports which support the decision [to die]."" However, the woman's father has argued that she is suffering from a personality disorder which affects her judgement and he has pointed to ""the obligation of the state to protect the lives of people, especially the most vulnerable, as is the case with a young person with mental health problems."" He has also said that she has responded well to rehabilitation treatment. His legal representation has also claimed that the young woman has changed her mind about undergoing euthanasia several times. The public prosecutor has not positioned itself with regard to the case, instead calling for the judge to hear the opinions of experts and the woman herself before taking a decision. Among those also due to testify in court in Barcelona today are a member of the euthanasia board which evaluated her case, a neuro-rehabilitation specialist, and a psychiatric specialist. A euthanasia law was introduced in Spain in 2021, but this is the first time that a case has gone to court for a judge to decide. Last year, a magistrate in Barcelona rejected an attempt by a man to appeal against his 54-year-old son's euthanasia after it had been approved by the guarantee and evaluation board. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  ",https://www.bbc.com/news/articles/crrdqdky9gxo
Trump says he 'appreciates' Zelensky message on Ukraine peace,2025-03-05,Jake Lapham,"US President Donald Trump says he's received a letter from Volodymyr Zelensky agreeing to ""come to the negotiating table"" to strike a peace deal in Ukraine. ""I appreciate that he sent this letter,"" Trump said as he addressed a joint session of Congress in Washington. It came after Zelensky said in a social media post that he was ready to work under Trump's ""strong leadership"" to achieve a lasting peace. The statements indicate a cooling of tensions between the leaders following their fiery meeting in the Oval Office last week. In his address to Congress, Trump said he received an ""important letter"" from Zelensky on Tuesday, before reading what he said were excerpts from it. Parts of what he read used precisely the same language as the statement posted by Zelensky earlier on Tuesday. ""The letter reads Ukraine is ready to come to the negotiating table as soon as possible to bring lasting peace closer. Nobody wants peace more than the Ukrainians,"" Trump said. Continuing to read from what he said was Zelensky's letter, Trump said: ""My team and I stand ready to work under President Trump's strong leadership to get a peace that lasts."" Trump also said Zelensky told him he was ready to sign a rare earth minerals deal with the US. Ukraine is yet to comment on the letter. The US president also said there had been ""serious discussions"" with Russia, and he'd ""received strong signals that they are ready for peace"". Trump did not indicate when the talks took place, or whether he was personally involved in them. ""It's time to end this senseless war. If you want to end wars, you have to talk to both sides,"" he added. Earlier on Tuesday, Zelensky described the White House showdown with Trump as ""regrettable"" in the wake of the US announcing a pause in military aid to Kyiv. Zelensky said ""it was time to make things right"", after Trump had accused him of not being ready to come to the negotiating table. The Ukrainian leader also outlined the first stages of how the war could be ended. The Oval Office meeting between Zelensky and US officials last week was due to conclude with the two parties signing a deal that would grant the US access to rare earth minerals in Ukraine. After the clash, which saw Trump accuse Zelensky of ""gambling with World War Three"", the Ukrainian delegation left without signing the deal. Trump told Zelensky: ""Come back when you're ready for peace."" Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  ",https://www.bbc.com/news/articles/cm2jzpn5j8do
Katya Adler: Fractured Europe seeks credible answers on Ukraine,2025-03-05,Katya Adler,"""It's certainly one way of focusing our minds — and wallets! Donald Trump is doing us a favour, if we choose to think about it that way. And we may as well look on the bright side. Otherwise these times are too dark."" The words of a diplomat from a major European country, speaking after Donald Trump turned off the military aid tap to Ukraine on Monday. He asked not to be named, so he can share his thoughts more freely. The relentlessness, and pace, of change in Washington, can be dizzying. Not only for consumers of news but politicians as well. Europe is scrambling to react effectively. There has been a frenzy of diplomatic activity: bilateral, late-night leader phone calls, European huddles in London and in Paris, meetings of Nato defence ministers in Brussels. An emergency security summit of EU leaders is also scheduled this Thursday. It is a huge moment in European history. Most European countries believe the security of all of Europe, not only the sovereignty of Ukraine, is at stake — with Russia looking to dismantle the western-facing balance of power, in place since the end of the Cold War. Washington, which has had Europe's back in terms of security and defence since World War Two, now appears ""not to care about the fate of Europe"", according to the man poised to be the next leader of the continent's biggest economy, Friedrich Merz of Germany. But what are all the big-name European meetings and summits actually achieving? Just a few hours prior to Washington halting military aid to Kyiv, UK Prime Minister Sir Keir Starmer, who is taking a lead in Europe over Ukraine, announced it was time for ""action not words"". The European Commission President Ursula von der Leyen, meanwhile, said Europe must turn Ukraine into a ""steel porcupine"", with urgent, extra arms deliveries. Can the continent really act as one, though? Europe is a sum total of different countries with different-sized budgets and diverse domestic politics and priorities. Europe's aim in taking this defence action is two-fold: First, to show Donald Trump that — in the words of the UK prime minister — Europe will now do the ""heavy lifting"" to defend itself. Europe hopes to persuade Trump to restart his military support of Ukraine, and to keep in place the current US security back-up for Europe as a whole, if he believes they are no longer ""freeloading"" off the United States. But also, Europe's leaders will need to urgently boost their own defences and support for Kyiv anyway, if Donald Trump turns away from Ukraine, and further down the line, from Europe more broadly in security terms. It's not only to Washington that Europe feels it has a point to prove. Russia is watching too. The various high-profile, big-pledging European emergency meetings must now produce speedy, impressive, practical results, otherwise in the Kremlin's eyes, Europe looks weak and vulnerable. Moscow has already gloated about the ""splits"" it sees in Western unity. Donald Trump says he trusts Vladimir Putin but he's been scathing about Nato allies and he called Ukraine's president a dictator. Russia knows that, for all Europe's talk about now determinedly defending itself, any security expert you speak to admits that — at least in the short-to-medium term — Europe still needs the US. That is why last week in Washington, we saw the French president and the UK prime minister, separately, wooing Donald Trump. The US has filled the yawning gaps in European defence, left by years of chronic under-investment after the end of the Cold War. The number of troops in Europe diminished with the end of conscription in most European countries. The US has roughly 100,000 troops and nuclear weapons in various parts of Europe under Nato's nuclear sharing policy. Many of them are in non-nuclear, major European power Germany, which fears being severely exposed to Russia should Donald Trump withdraw support. If the UK and France manage to assemble what they call a ""coalition of the willing"" — European countries that accept to send even a modest number of peacekeeping troops into Ukraine once a ceasefire is agreed — that could stretch European armies and expose gaps in Nato defences. That is why Poland is unwilling to commit troops to that ""coalition"". It says it needs to keep soldiers at home, to defend itself against Russia. It also fervently hopes the US won't be pulling its troops out of Eastern Europe. But Europe also relies on the US for military capabilities that ensure the smooth running of operations. These are known as ""enablers"". Ukraine leans heavily on US intelligence, for example, to maintain a strong hand against Russia. But on Wednesday, the Financial Times reported that the US had cut off intelligence-sharing with Kyiv, in a move that could seriously affect the Ukrainian military's ability to target Russian forces. Any European peacekeeping or ""reassurance"" force in Ukraine would need US support to establish an air shield over Ukraine. Europe lacks air-to air refuelling capabilities, as well as munitions that could take out air defences in Russia if necessary. These enablers ""can't be bought in a hurry at the local cash-and-carry"", as one European politician put it to me. This is why the UK, France and others in Europe are so very keen to keep the US on board for as long and as much as possible. ""Some of my esteemed European colleagues should probably hold back from tweeting in anger,"" one frustrated diplomat from a high-profile nation told me. We were discussing European outrage at the treatment of Ukraine's president by the US president and vice-president at the Oval Office on Friday. ""Real leadership is not about letting off steam online. It's about finding the right words to constructively move forward, however complicated the situation. ""Do we need continued US support in Ukraine and Europe? Do we have more in common with the US than with China? Those are the fundamental questions we need to keep in mind."" Another fundamental question for Europe is, of course, how much cash is needed and how fast to credibly boost defence. On Ukraine, Europe could arguably quite easily replace current US support, if it put its mind to it. Germany is the largest donor of military aid to Ukraine after the US. If other European powers followed its lead, it says, Ukraine defence would be covered for the foreseeable future. Berlin and other northern European countries express resentment against France, for example, which they say, talks big about defending Ukraine – and is strong in leadership and strategy - but has in fact donated relatively little. As for broader defence spending, the EU Commission Chief Ursula von der Leyen declared on Tuesday that ""Europe is in an era of re-armament"". She suggested the EU alone could mobilise a total of 800bn euros for defence spending by: EU leaders will debate her proposals and others at their summit on Thursday – including whether frozen Russian assets in Europe could be used in funding for Ukraine. But potential and very public European splits loom large. Many fuelled by member states' domestic politics. Hungary, close to Russia and Donald Trump's administration, is a spoke in the wheel of pretty much every EU debate to help Ukraine. Brussels fears Slovakia is going the same way. Countries near Russia's borders do not need to explain to voters why defence spending needs to be high. Tiny, exposed Baltic nations Estonia and Lithuania already spend over 3% of GDP on defence. They want to raise that to 5% in the near future. Meanwhile, big European economies Italy and Spain, geographically much further from Russia, fail to spend the Nato minimum requirement of 2% of GDP on defence. In Germany, France and the UK, according to a study by the London-based Focaldata research group, most voters want to maintain or reduce defence spending, preferring their government to focus on other voter priorities. But Nato Secretary General Mark Rutte is warning Europeans to wake up and smell the coffee brewing in Washington and Moscow. European nations need to spend more than 3% of GDP now to effectively wean the continent off its deep reliance on the US, he says. If Donald Trump pulls out of Europe altogether, never mind Ukraine, that would mean spending 4-6% of GDP, according to defence experts: a political, social and economic earthquake Europe's leaders hope they will not have to face. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  ",https://www.bbc.com/news/articles/czxnekw9lyjo
"Pope well-rested after respiratory failure, Vatican says",2025-03-05,Jacqueline Howard,"Pope Francis was well-rested and woke up just after 08:00 local time (07:00 GMT) on Wednesday, the Vatican said. The Vatican said the Pontiff - who has been in hospital since February to receive treatment for pneumonia - spent the night on ""non-invasive mechanical ventilation"" and is now back on a high-flow oxygen mask. He is free from fever, ""always alert, co-operative with therapies and well-oriented"", the Vatican said in a statement. On Tuesday evening, they had said the Pope was stable after suffering two episodes of respiratory failure the day before. Meanwhile, the Pope's traditional Wednesday audience with Catholics has been cancelled for the third week. The Vatican has published a text instead, but it contains no current references and appears to have been written some time ago. The Pope will also be unable to participate in events planned to mark Ash Wednesday which is the first day of Lent, the six-week period that leads up to Easter. In Rome, Catholics will take part in a procession to the Santa Sabina Basilica where the Pope would normally attend and say mass. This year the service will be taken instead by one of the Cardinals. He does not have any planned visitors and there is no mention of him doing any work in hospital, even reading, as there was previously. After Monday's episodes, the Pope had begun using an oxygen mask and ventilator to assist his breathing. It was the second time the mechanical intervention had been used, after spending two days on the ventilator following an ""isolated"" breathing crisis involving vomiting on Friday, the Vatican said. In Tuesday's update, the Holy See said Pope Francis had switched back to high-flow oxygen therapy. During the day, he alternated prayer and rest. On Tuesday morning, he received the Eucharist, it added. He has been unable to deliver his traditional Angelus prayer in person on each of the last three Sundays. The 88-year-old was admitted to hospital on 14 February after experiencing breathing difficulties for several days. He was first treated for bronchitis before being diagnosed with pneumonia in both lungs. The pontiff is particularly susceptible to pneumonia, an infection of the lungs that can be caused by bacteria, viruses or fungi, after he contracted pleurisy – an inflammation of the lungs – as a young man and had a partial lung removal. Vatican sources stress, as they have all along, that the Pope's condition remains complex – his doctors remain cautious - and he is not out of danger. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  ",https://www.bbc.com/news/articles/cly28dj107qo
Macron floats one-month Ukraine truce: Would it work?,2025-03-03,James Landale,"Could a partial month-long truce between Russia and Ukraine be the key to unlocking a lasting peace between the two sides? President Emmanuel Macron of France believes so and he floated the idea during Sunday's summit of European leaders in London. In an interview with Le Figaro newspaper, he proposed a four-week truce ""in the air, at sea and on energy infrastructure"". It would not cover ground fighting along the front line in the east. ""In the event of a ceasefire, it would be very difficult to verify [a truce] along the front was being respected,"" Macron told the newspaper. In a separate interview, French Foreign Minister Jean-Noel Barrot said: ""Such a truce on air, sea and energy infrastructure would allow us to determine whether Russian President Vladimir Putin is acting in good faith when he commits to a truce. And that's when real peace negotiations could start."" This so far appears more of an idea than a fully worked-out plan and hard details are scarce. But the essence of the hypothesis would seem to divide the process of ending the fighting. An initial short-term truce - something less permanent than a formal ceasefire - would provide a moment to test Russia's willingness to negotiate a peace. It would also potentially give an early political win for President Trump. It would not involve any ceding of territory. And it could create the political space to allow serious talks to begin about a lasting peace. Under the French proposal, a European ""assurance force"" would deploy to Ukraine to deter future Russian aggression only after any lasting ceasefire had been agreed. Britain's Ambassador in Washington, Lord Mandelson, appeared to give credence to the idea on Sunday in an interview with ABC News when he said: ""Ukraine should be first to commit to a ceasefire and defy the Russians to follow."" But on Monday UK government officials and ministers were cool about the French truce idea and emphasised it was not yet an agreed proposal. Armed Forces Minister Luke Pollard told the BBC's Today programme: ""A number of options that are being discussed at the moment. None of them have been agreed at this stage"". The prime minister's spokesman said: ""There are clearly a number of options on the table. I'm just not getting into a running commentary on the options."" Italian Deputy Prime Minister and Foreign Minister Antonio Tajani was more blunt, saying the idea was ""premature"", according to the Italian news agency Ansa. ""I believe that everything must be done together, Europe and United States, sitting at a table with Ukraine and Russia to reach a fair and especially a long-lasting peace,"" Tajani said. ""Therefore, it is still premature to see what to do, how to do it."" There are clearly difficulties with the idea. How would one measure a violation by an anonymous drone attack on a Ukrainian power plant? Why would Ukraine want to give Russian forces a free month to regroup and rearm? But for all that, Western diplomats said the idea of a partial truce was not entirely ""blue-skies thinking"" by President Macron - a man known for floating ideas at international summits. They said it could be part of the European ceasefire plans that are being worked on before being put to the Americans. Clearly some fresh thinking may be needed to try to unlock the current impasse with the US and Ukraine still at odds and the Europeans struggling to find ways of repairing the diplomatic breach. Everything of course depends on what Ukraine and Russia think. On Sunday night Ukrainian President Volodymyr Zelensky was asked if he was aware of the French truce plan and said simply: ""I'm aware of everything."" So far there is no evidence the Russians would be willing to agree to a partial truce. As Zelensky said: ""Anyone who wants to negotiate does not deliberately hit people with ballistic missiles."" Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  ",https://www.bbc.com/news/articles/ckg1r4g08kwo
"A weekend of frantic talks - where does it leave Zelensky, Trump and Europe?",2025-03-03,Laura Gozzi,"Ukrainian President Volodymyr Zelensky is back in Kyiv after three frantic days - which began with him being ordered to leave the White House following a tense and public showdown with Donald Trump and JD Vance on Friday. He found a warmer welcome in London on the weekend, where he was greeted by the prime minister outside Downing Street, visited the King, and received a strong show of support from European leaders at a summit on Sunday - a sharp contrast to the scenes in the Oval Office. After the London summit, Sir Keir Starmer suggested European leaders would form a ""coalition of the willing"" to defend Ukraine - but details of who would contribute what were scarce. Here's the latest on Zelensky's relationship with Trump, and Europe's plans to guarantee Ukraine's security. In a series of social media posts on Saturday morning, President Zelensky said Ukraine and the US needed to be ""honest and direct with each other"" to understand their shared goals - and he wanted America to ""stand more firmly"" on their side. Appearing on Fox News hours after leaving the White House, Zelensky said the confrontation was a ""really tough situation"" and took the chance to thank Americans and Donald Trump. He also stopped short of an outright apology despite calls from US lawmakers for him to do so. While Trump hasn't commented directly on the angry exchange over the weekend, most Republican figures have expressed their support for Trump and Vance. National Security Adviser Mike Waltz - who was in the Oval Office during Friday's heated meeting - compared the Ukrainian leader to an ""ex-girlfriend"", while Speaker Mike Johnson called for Zelensky to quit. However, moderate Republican Nebraska Congressman Don Bacon said it was ""a bad day for America's foreign policy"" and Alaska Senator Lisa Murkowski said she is ""sick to my stomach as the administration appears to be walking away from our allies and embracing Putin"". Posts on social media in support of Zelensky poured in shortly after he left the White House on Friday evening. Among the notable exceptions were Italy's Giorgia Meloni, who wants to preserve her excellent relations with the Trump administration, and Hungary's Viktor Orban, who praised Donald Trump for ""standing bravely for peace"". By the time the London summit came around on Sunday, there was a sense that concrete action had to follow words of support – with most leaders careful to highlight that they still considered US support essential. At the end of the summit, Starmer outlined a four-point plan for peace which included the continuation of military aid to Ukraine, a commitment for Ukraine to be present at peace talks, boosting Ukraine's defence capabilities to deter future Russian aggression, and developing a ""coalition of the willing"" to defend Ukraine, including sending troops to Ukraine. Starmer said that the idea of sending troops to Ukraine - which would include boots on the ground and planes in the air - had the backing of several parties, but he was careful to leave it to individual countries to discuss the matter internally. Scandinavian countries have already signalled they would be open to the idea. Denmark's Prime Minister Mette Frederiksen said she was keeping an ""open mind"" on the proposal, while Sweden's Ulf Kristersson said his country was ready to provide Ukraine with security guarantees – if it had the backing of the US. Italy's Giorgia Meloni would much rather push for another summit that includes the US than discuss a European contingent in Ukraine – a possibility which she says ""perplexes"" her. And Poland – which has long been one of Kyiv's most vocal supporters – has already ruled out sending soldiers, although it put few boundaries on humanitarian and military aid to Ukraine. European leaders will now have a few days to digest the latest developments before they meet again in Brussels on Thursday for a special meeting on defence, at which Commission chief Ursula von der Leyen will present what she has called ""a comprehensive plan on how to rearm Europe"". On Sunday night, the French newspaper Le Figaro reported that President Emmanuel Macron and Starmer have proposed a potential one-month truce between Russia and Ukraine, ""in the air and at sea"". Details of any agreement are scarce and the idea put forward by the French remains just that. Under the hypothesis, both sides would agree a truce for four weeks in the air, on the sea and around energy infrastructure. But, Macron has suggested it would not cover fighting on the ground along the front line, as it would be too hard to monitor. But on Monday morning, the UK's armed forces minister played down the idea of a truce insisting that ""no agreement has been made on what a truce looks like"". Luke Pollard told Times Radio: ""We are working together with France and our European allies to look at what is the path to how... we create a lasting and durable peace in Ukraine."" Any truce would have to be agreed by Russia and there is no evidence yet they are willing to do that. Although Vladimir Putin has not yet officially commented on the Washington encounter, the Kremlin's foreign ministry spokeswoman Maria Zakharova said it had been a ""complete diplomatic failure of Kyiv"". On Monday morning, Kremlin spokesman Dmitry Peskov then added his criticism of the London summit on Ukraine. ""Statements were made there about the need to step up funding for Ukraine as a matter of urgency. This is obviously not part of a peace plan but is done to continue the fighting,"" Peskov said. ""The rest will depend on what kind of peace plans will be drawn up and offered for discussion. Any constructive support for this process would be welcome now, and any constructive initiatives."" Remarking on the response to the war more broadly, Peskov also suggested that ""the collective West has partially begun to lose its collectivity"". Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  ",https://www.bbc.com/news/articles/c62k9rr2wgvo
Swedish police investigate suspected water pump sabotage,2025-03-03,Mallory Moench,"Swedish police are investigating a suspected sabotage incident on a water pump on the island of Gotland in the Baltic Sea. Police told the BBC that the local government's water unit received an alarm for a water pump on Sunday at 17:30 local time (16:30 GMT). ""Technicians found that someone has opened an electrical cabinet, pulled out a cable and thereby cut off the power to the pump,"" police said. The technician put the cable back and reset the alarm at 21:30 local time, and the pump is now working. Police have not said who they suspect could be responsible. The incident comes after the suspected sabotage of an undersea telecoms cable connecting Germany and Finland last month. There has been an increase in damage to infrastructure in the Baltic Sea in recent months, largely caused by ships dragging their anchors across cables. European leaders have suspected Russian involvement. However, poor weather, inadequate equipment and human error have been found to be responsible for some damages. Following the discovery of the suspected sabotage on Gotland on Sunday, Patrik Johansson, who heads the local water and sanitation department, said: ""We can see that it is human influence that caused the damage."" There has been no impact on the drinking water, the statement added. Susanne Bjergegaard-Pettersson, Gotland's head of water and sewage, earlier on Monday told Aftonbladet, which first reported the incident, that the water pumps drew from a lake that supplies large parts of the island. Bjergegaard-Pettersson later told the BBC she could not provide information about how many people got their water supply from the pump. Gotland is a large island in the Baltic Sea that sits to the east of mainland Sweden and west of Latvia, Lithuania and Estonia. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  ",https://www.bbc.com/news/articles/cm2nk82j2g7o
